,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
0,CN,ANQING, Anqing Port Authority ,"Administration Office7 Yanjiang Zhong Road Anqing, Anhui 246030 China", 86 556 521 7018 , 86 556 554 2843 ,, 30 30 5 N ,117 2 12 E,30.5,117.03333333333332, River Port , Small ,,,,,Yes, Very Small , Fair ,, River Natural ,,Yes,,,,16 - 20 ft, 6 - 10 feet 1.8 - 3 meters ,8.0,21 - 25 ft,21 - 25 ft,Yes,,Yes,,Yes,,Yes,,,,,Yes,,,Yes,,Yes,Yes,,Yes,Yes, None ,,,Huangshan Tunxi Airport
1,CN,ANSHAN,,,,,, 41 4 11 N ,123 0 0 E,41.06666666666667,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shenyang Taoxian Airport
2,CN,BAIMAJING,,,,,, 19 25 12 N ,109 7 47 E,19.416666666666668,109.11666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Sanya Phoenix Airport
3,CN,BAO'AN,,,,,, 22 32 59 N ,113 52 18 E,22.53333333333333,113.86666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shenzhen Baoan Airport
4,CN,BAOTOU,,,,,, 40 23 24 N ,109 29 23 E,40.38333333333333,109.48333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Baotou Donghe Airport
5,CN,BASUO, Hai Port Management Bureau ,"Basuo Port Admin Office Haigang Road Basuo, Hai 572600 China", 86 890 552 2512 , 86 890 552 1054 ,, 19 5 13 N ,108 38 9 E,19.08333333333333,108.63333333333334, Harbor , Small ,,161.0,,,Yes, Small , Poor , Over 500 feet in length , Coastal Breakwater ,Yes,Yes,Yes,,Yes,26 - 30 ft,26 - 30 ft,2.0,36 - 40 ft,26 - 30 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,,Limited,"201 to 1,000 tons",,Sanya Phoenix Airport
6,CN,BAYUQUAN,,,,,, 40 41 10 N ,122 14 41 E,40.68333333333333,122.23333333333332,,,No,157.0,94380,,,Very Small,Fair,less than 500 feet,Open Roadstead,Yes,,Yes,,,46 - 51 ft,36 - 40 ft,8.0,36 - 40 ft,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,Up to 200 tons,,Shenyang Taoxian Airport
7,CN,BEIJIAO,,,,,, 22 53 39 N ,113 10 8 E,22.88333333333333,113.16666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Guangzhou Baiyun Airport
8,CN,BEIPEI,,,,,, 29 49 55 N ,106 26 7 E,29.816666666666666,106.43333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Chongqing Jiangbei Airport
9,CN,BENGBU, Bengbu Harbour Administration ,"1 Shengping Street Central District Bengbu, Anhui 233000 China",,,, 32 55 0 N ,117 22 0 E,32.916666666666664,117.36666666666666, River Port , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hefei Xinqiao Airport
10,CN,BINHAI,,,,,, 21 36 20 N ,109 14 39 E,21.6,109.23333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Nanning Wuxu Airport
11,CN,BOHE,,,,,, 30 23 49 N ,115 0 59 E,30.38333333333333,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Wuhan Tianhe Airport
12,CN,BUJI,,,,,, 22 39 51 N ,114 5 9 E,22.65,114.08333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shenzhen Baoan Airport
13,CN,CAOFEIDIAN PT ,,,,,, 39 1 5 N ,118 31 16 E,39.016666666666666,118.51666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Qinhuangdao Beidaihe Airport
14,CN,CHANGDE,,,,,, 29 1 59 N ,111 40 59 E,29.016666666666666,111.66666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Changde Airport
15,CN,CHANGSHA,,,,,, 28 11 19 N ,112 58 10 E,28.18333333333333,112.96666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Changsha Huanghua Airport
16,CN,CHANGSHU, Changshu Xinghua Changjiang Development Co Ltd ,"88 Jinsha Jiang Road Changshu, Jiangsu 215513 China", 86 512 5269 5028 , 86 512 5269 5026 ,, 31 45 46 N ,120 57 9 E,31.75,120.95," Pier, Jetty or Wharf ", Very Small ,,157.0,,,,Small,Fair,less than 500 feet,Open Roadstead,,,,,,21 - 25 ft,21 - 25 ft,3.0,41 - 45 ft,26 - 30 ft,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,,,,Nantong Xingdong Airport
17,CN,CHANGZHI,,,,,, 36 6 35 N ,113 4 48 E,36.1,113.06666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Taiyuan Wusu Airport
18,CN,CHANGZHOU, Changzhou Harbour Administration Department ,"Administration Office Weitang Town New District Changzhou, Jiangsu 213128 China", 86 519 577 0342 , 86 519 577 0342 ,, 31 57 52 N ,119 58 56 E,31.95,119.96666666666668, River Port , Small ,,157.0,,,,Small,Poor,less than 500 feet,Open Roadstead,,,,Yes,,31 - 35 ft,36 - 40 ft,2.0,16 - 20 ft,,Yes,Yes,Yes,,,,Yes,,,,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,Limited,,,Changzhou Benniu Airport
19,CN,CHENGDU,,,,,, 30 23 60 N ,104 2 24 E,30.38333333333333,104.03333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Chengdu Shuangliu Airport
20,CN,CHENGLINGJI, Chenglingji Port Authority ,"Port Administration Office2 Changjiang Road Chenglingji, Hu 414002 China", 86 730 856 1761 ,,, 29 25 48 N ,113 8 54 E,29.41666666666667,113.13333333333334, River Port , Medium ,,,,,, Very Small , Good , Up to 500 feet in length , River Natural ,,No,Yes,,,, 6 - 10 feet 1.8 - 3 meters ,17.0, 6 - 10 feet 1.8 - 3 meters ,26 - 30 ft,Yes,,,,Yes,,,Yes,,,,,,,,,Yes,Yes,,,, Emergency Only ,,,Changsha Huanghua Airport
21,CN,CHIWAN, Chiwan Port Authority ,"c/o China Ocean Shpg Agency Gangwan Yi Road, Shekou Shenzhen, Guangdong 518067 China", 86 755 2669 4888 , 86 755 2669 4297 ,, 22 28 42 N ,113 52 30 E,22.466666666666665,113.86666666666666, Seaport , Large ,,161.0,93721,,,Very Small,Fair,less than 500 feet,Coastal Breakwater,Yes,,Yes,,Yes,31 - 35 ft,11 - 15 ft,2.0,11 - 15 ft,16 - 20 ft,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Limited,Up to 200 tons,,Shenzhen Baoan Airport
22,CN,CHIZHOU,,,,,, 30 40 4 N ,117 28 12 E,30.66666666666667,117.46666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Huangshan Tunxi Airport
23,CN,CHONGMING,,,,,, 31 37 40 N ,121 22 43 E,31.61666666666667,121.36666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shanghai Hongqiao Airport
24,CN,CHONGQING, Chongqing Harbour Administration Bureau ,"Beipei Wharf Admin Office Wuchang Road Beipei City, Sichuan 630700 China",,,, 29 31 45 N ,106 32 19 E,29.516666666666666,106.53333333333332, River Port , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chongqing Jiangbei Airport
25,CN,CHUANSHA,,,,,, 31 14 23 N ,121 44 28 E,31.23333333333333,121.73333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shanghai Pudong Airport
26,CN,DA CHAN BAY,,,,,, 22 19 12 N ,113 31 11 E,22.316666666666666,113.51666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Macao International Airport
27,CN,DAFENG,,,,,, 33 18 26 N ,120 50 2 E,33.3,120.83333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yancheng Nanyang Airport
28,CN,DAGANG,,,,,, 22 28 47 N ,113 14 23 E,22.466666666666665,113.23333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Macao International Airport
29,CN,DALIAN, Dalian Port Corporation Limited ,"1 Gangwan Street Zhongshan District Dalian, Liaoning 116004 China", 86 411 8262 7147 , 86 411 8280 7148 ,, 38 55 0 N ,121 39 0 E,38.91666666666666,121.65, Port Terminal , Large ,Yes,157.0,94423,No,Yes,Large,Good,over 500 feet,Coastal Breakwater,Yes,Yes,No,,Yes,76 - over ft,56 - 60 ft,3.0,76 - over ft,76 - over ft,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Major,"201 to 1,000 tons",657 ft to 984 ft,Dalian Zhoushuizi Airport
30,CN,DANDONG, Dandong Port Authority ,"7 Xingwu Road Dandong, Zhenxing 118000 China", 415 312 2088 , 415 312 3512 ,, 40 1 59 N ,124 22 59 E,40.016666666666666,124.36666666666666, River Port , Small ,,157.0,,,Yes,Very Small,Fair,less than 500 feet,Open Roadstead,,,,Yes,,16 - 20 ft,21 - 25 ft,5.0,16 - 20 ft,11 - 15 ft,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Limited,"201 to 1,000 tons",,Shenyang Taoxian Airport
31,CN,DAQING,,,,,, 46 21 35 N ,125 0 36 E,46.35,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Qiqihar Sanjiazi Airport
32,CN,DAZHONG,,,,,, 33 12 0 N ,120 28 0 E,33.2,120.46666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yancheng Nanyang Airport
33,CN,DEQING,,,,,, 30 19 12 N ,120 2 24 E,30.316666666666666,120.03333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Hangzhou Xiaoshan Airport
34,CN,DEZHOU,,,,,, 37 15 35 N ,116 10 11 E,37.25,116.16666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Jinan Yaoqiang Airport
35,CN,DIANBAI,,,,,, 21 28 59 N ,111 17 49 E,21.466666666666665,111.28333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Haikou Meilan Airport
36,CN,DONGGUAN,,,,,, 23 2 52 N ,113 44 29 E,23.03333333333333,113.73333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shenzhen Baoan Airport
37,CN,DONGSHAN, Dongshan Port Authority ,"Port Administration Office Shipping Building Dongshan Port, Fujian 363401 China",,,, 23 44 41 N ,117 30 35 E,23.73333333333333,117.5, Seaport , Small ,,157.0,94040,,,Small,Fair,less than 500 feet,Coastal Natural,,Yes,Yes,,Yes,21 - 25 ft,,2.0,16 - 20 ft,16 - 20 ft,Yes,Yes,,,Yes,,,,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Limited,,,Xiamen Gaoqi Airport
38,CN,DONGTAI,,,,,, 32 51 0 N ,120 19 59 E,32.85,120.31666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yancheng Nanyang Airport
39,CN,DONGWAN,,,,,, 36 43 22 N ,104 52 41 E,36.71666666666667,104.86666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Lanzhou Zhongchuan Airport
40,CN,DOUMEN,,,,,, 22 15 8 N ,113 10 12 E,22.25,113.16666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Zhuhai Jinwan Airport
41,CN,EZHOU,,,,,, 30 22 0 N ,114 50 60 E,30.36666666666667,114.83333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Wuhan Tianhe Airport
42,CN,FANGCHENG, Fangcheng Port Authority ,"Port Administration Office22 Youyi Road Fangcheng, Guangxi 538001 China", 86 770 282 2663 , 86 770 289 2141 ,, 21 44 58 N ,108 21 41 E,21.73333333333333,108.35, River Port , Small ,,,,,Yes, Medium , Good , Over 500 feet in length , River Natural ,Yes,,Yes,,,21 - 25 ft,26 - 30 ft,4.0,21 - 25 ft,,Yes,,Yes,,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,, None ,,,Nanning Wuxu Airport
43,CN,FANGCUN,,,,,, 23 3 35 N ,113 16 11 E,23.05,113.26666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Guangzhou Baiyun Airport
44,CN,FENGJIE,,,,,, 31 4 28 N ,109 30 0 E,31.066666666666666,109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Enshi Xujiaping Airport
45,CN,FOSHAN, Foshan Harbour Administration Department ,"4 Nandi Road Foshan, Guangdong 528000 China",,,, 23 0 0 N ,113 4 0 E,23.0,113.06666666666666, River Port , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guangzhou Baiyun Airport
46,CN,FUJIN, Fujin Harbour Administration Bureau ,"North End Xinkai Road Fujin, Heilongjiang 156100 China",,,, 47 17 60 N ,132 1 0 E,47.28333333333333,132.01666666666668, River Port , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiamusi Jiamusi Airport
47,CN,FULING, Fuling Harbour Administration Bureau ,"164 Zhongshan Dong Road Fuling, Sichuan 648000 China",,,, 29 25 12 N ,107 12 0 E,29.41666666666667,107.2, River Port , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chongqing Jiangbei Airport
48,CN,FUSHUN,,,,,, 41 30 35 N ,123 32 24 E,41.5,123.53333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Shenyang Taoxian Airport
49,CN,FUYANG,,,,,, 32 49 59 N ,115 52 57 E,32.81666666666667,115.86666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Hefei Xinqiao Airport
50,CN,FUZHOU,,,,,, 26 3 20 N ,119 17 12 E,26.05,119.28333333333332,,,,157.0,94004,,Yes,Very Small,Good,less than 500 feet,River Natural,Yes,,,No,,36 - 40 ft,36 - 40 ft,3.0,36 - 40 ft,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Limited,,,Fuzhou Changle Airport
51,CN,GANZHOU,,,,,, 25 57 36 N ,114 55 28 E,25.95,114.91666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Meizhou Meixian Airport
52,CN,GAOGANG,,,,,, 32 10 47 N ,119 30 36 E,32.166666666666664,119.5,,,,157.0,,,,Small,Fair,over 500 feet,River Natural,Yes,Yes,,No,,31 - 35 ft,26 - 30 ft,2.0,31 - 35 ft,21 - 25 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Limited,,,Changzhou Benniu Airport
53,CN,GAOLAN,,,,,, 21 58 45 N ,113 12 33 E,21.966666666666665,113.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Zhuhai Jinwan Airport
54,CN,GAOMING,,,,,, 22 53 51 N ,112 53 23 E,22.88333333333333,112.88333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Guangzhou Baiyun Airport
55,CN,GONGYI,,,,,, 34 45 2 N ,113 1 16 E,34.75,113.01666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Zhengzhou Xinzhheng Airport
56,CN,GUANGZHOU,,,,,, 23 7 22 N ,113 12 2 E,23.11666666666667,113.2,,,Yes,161.0,93728,No,Yes,Medium,Good,less than 500 feet,River Natural,Yes,Yes,Yes,Yes,Yes,41 - 45 ft,41 - 45 ft,2.0,36 - 40 ft,31 - 35 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Major,Up to 200 tons,657 ft to 984 ft,Guangzhou Baiyun Airport
57,CN,GUIGANG, Guigang Stevedores Co ,"Nanping Road Guigang, Guangxi 537100 China", 86 775 421 5373 , 86 775 421 5355 ,, 23 4 58 N ,109 37 0 E,23.066666666666666,109.61666666666666, River Port , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nanning Wuxu Airport
58,CN,GUISHAN,,,,,, 22 4 47 N ,113 29 23 E,22.066666666666666,113.48333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Macao International Airport
59,CN,HAIAN, Haian Harbour Administration Department ,"Haiangang Matou Haian, Guangdong 524145 China",,,, 20 14 23 N ,110 10 4 E,20.233333333333334,110.16666666666669, Harbor , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haikou Meilan Airport
60,CN,HAIKOU, Haikou Power Plant ,"Macun Chengmai County, Hai 571923 China",,,, 30 33 55 N ,114 15 27 E,30.55,114.25, Seaport , Medium ,Yes,161.0,93710,No,Yes, Very Small , Fair , Over 500 feet in length , River Natural ,Yes,Yes,Yes,Yes,Yes,26 - 30 ft,11 - 15 ft,4.0,36 - 40 ft,,Yes,Yes,Yes,,,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,Limited,,,Wuhan Tianhe Airport
61,CN,HAIMEN, Haimen Port Authority ,"Port Administration Office Jiaojiang District Taizhou, Zhejiang 318000 China", 86 576 822 4571 ,,, 28 41 60 N ,121 27 0 E,28.68333333333333,121.45, Seaport , Small ,,157.0,94180,,Yes,Very Small,Good,,River Natural,,Yes,Yes,,Yes,21 - 25 ft,16 - 20 ft,4.0,26 - 30 ft,21 - 25 ft,Yes,Yes,Yes,,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Limited,,,Wenzhou Longwan Airport
62,CN,HANGZHOU,,,,,, 30 13 37 N ,120 12 7 E,30.216666666666665,120.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Hangzhou Xiaoshan Airport
63,CN,HARBIN, Harbin Harbour Administration Bureau ,"1 Haiyuan Street Taiping District Harbin, Heilongjiang 150050 China",,,, 45 47 60 N ,126 40 0 E,45.78333333333333,126.66666666666669, River Port , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harbin Taiping Airport
64,CN,HECHI,,,,,, 24 25 12 N ,108 1 11 E,24.41666666666667,108.01666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Nanning Wuxu Airport
65,CN,HECHUAN,,,,,, 30 1 7 N ,106 22 23 E,30.016666666666666,106.36666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Chongqing Jiangbei Airport
66,CN,HEFEI, Hefei Harbour Administration Department ,"31 Chaohu Road Hefei, Anhui 230001 China",,,, 31 50 3 N ,117 20 18 E,31.83333333333333,117.33333333333331, River Port , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hefei Xinqiao Airport
